Ticker,Test_Samples,HistMean_MSE_3M,HistMean_DirAcc_3M,HistMean_MSE_1Y,HistMean_DirAcc_1Y,MA_MSE_3M,MA_DirAcc_3M,MA_MSE_1Y,MA_DirAcc_1Y,LR_MSE_3M,LR_DirAcc_3M,LR_MSE_1Y,LR_DirAcc_1Y,RF_MSE_3M,RF_DirAcc_3M,RF_MSE_1Y,RF_DirAcc_1Y,SimpleLSTM_MSE_3M,SimpleLSTM_DirAcc_3M,SimpleLSTM_MSE_1Y,SimpleLSTM_DirAcc_1Y,Hybrid_MSE_3M,Hybrid_DirAcc_3M,Hybrid_MSE_1Y,Hybrid_DirAcc_1Y
RELIANCE,890,0.03326540931647784,59.43820224719101,0.06913261304402446,82.92134831460675,0.04896467288485968,46.06741573033708,0.11402099897469664,43.033707865168545,0.07442520930240196,42.02247191011236,0.7694756162534889,19.662921348314608,0.06362957079288886,44.49438202247191,0.082484795025585,82.13483146067416,0.03631865605711937,59.00692840646651,0.13422052562236786,17.551963048498845,0.006640654522925615,71.24711316397229,0.008196510374546051,81.17782909930716
TCS,890,0.012304868554647876,61.23595505617978,0.07016620399253946,75.50561797752809,0.0188488390047677,52.13483146067416,0.10027000318292682,54.26966292134831,0.011594856658990318,63.146067415730336,0.12849947070666,52.359550561797754,0.014950413706598031,48.764044943820224,0.11122098694758066,36.853932584269664,0.012676420621573925,62.933025404157036,0.11979582160711288,24.364896073903004,0.006356720346957445,78.17551963048498,0.028717253357172012,72.05542725173211
HDFCBANK,890,0.017938174242066642,62.69662921348315,0.0587681446613111,70.11235955056179,0.028703638450412662,50.44943820224719,0.06706022984931642,51.348314606741575,0.022494635520793657,52.359550561797754,0.05838426225481218,64.15730337078651,0.018686255061707176,54.157303370786515,0.09528842679894889,41.57303370786517,0.01674913801252842,63.04849884526559,0.04634402319788933,72.05542725173211,0.00413422379642725,89.37644341801386,0.0042903972789645195,86.02771362586606
INFY,890,0.023822584101749308,65.50561797752809,0.19743866134326052,62.247191011235955,0.03695707902883073,53.48314606741573,0.2574618285549763,51.573033707865164,0.034306517869720166,41.46067415730337,0.4354404548693431,42.359550561797754,0.025774504796052804,53.146067415730336,0.2700941031861362,49.325842696629216,0.03971453756093979,35.21939953810623,0.23970207571983337,61.54734411085451,0.003895888337865472,88.45265588914549,0.008987583220005035,92.14780600461894
ICICIBANK,890,0.030772397204100195,70.56179775280899,0.10637401062969953,84.04494382022472,0.051291365156872264,52.69662921348315,0.16857379188619934,56.29213483146067,0.07602858963054669,34.831460674157306,0.7238769027910329,21.01123595505618,0.03171308138556034,70.56179775280899,0.1894798271660391,29.8876404494382,0.03169223293662071,71.0161662817552,0.1141495332121849,86.37413394919169,0.006175666581839323,90.64665127020785,0.012324545532464981,94.80369515011547
HINDUNILVR,890,0.009653698760081136,59.662921348314605,0.035980476844771576,74.38202247191012,0.016769040624079076,41.12359550561798,0.02868031350332841,40.1123595505618,0.010311805382519168,59.43820224719101,0.060224178367679584,70.56179775280899,0.01942070043898352,41.57303370786517,0.012453753939022785,74.38202247191012,0.010490761138498783,58.66050808314087,0.014329751022160053,73.67205542725173,0.0047041745856404305,72.86374133949192,0.004538607317954302,79.44572748267899
ITC,890,0.020169666610539694,64.15730337078651,0.10317722350420222,82.35955056179776,0.03400699586491604,51.91011235955057,0.19018877904621273,58.876404494382015,0.02265667437889781,46.741573033707866,0.22415984246333237,50.337078651685395,0.0365872895711947,48.31460674157304,0.21148094500447812,53.37078651685393,0.02084801159799099,65.93533487297921,0.14166082441806793,84.64203233256352,0.0029102303087711334,87.06697459584296,0.0052031599916517735,99.88452655889145
SBIN,890,0.05014072908543598,67.97752808988764,0.30898320682015945,80.78651685393258,0.07836657120834369,51.79775280898876,0.43711381268227395,60.337078651685395,0.07984727295752839,49.325842696629216,0.7907221931463385,39.550561797752806,0.08309625924212338,48.31460674157304,0.5382719554360322,38.20224719101123,0.047642238438129425,69.86143187066975,0.3795384168624878,83.02540415704388,0.01070250105112791,83.37182448036951,0.010455645620822906,97.92147806004618
BHARTIARTL,890,0.024079212048356544,63.70786516853932,0.03955927121985199,93.82022471910112,0.03772693042507673,50.674157303370784,0.08180831961339476,55.168539325842694,0.1423431112346506,36.29213483146068,1.8835479637091816,6.292134831460674,0.08111604475186847,36.51685393258427,0.39641197575630527,6.51685393258427,0.024587005376815796,63.972286374133944,0.04641695320606232,93.64896073903002,0.003976516425609589,83.83371824480369,0.004846246913075447,99.30715935334872
BAJFINANCE,890,0.08053770525944208,59.21348314606741,0.4012380833962002,70.0,0.11479003676136751,54.382022471910105,0.35066418872634375,50.112359550561806,0.08407784349010565,54.157303370786515,0.20681616511454232,60.337078651685395,0.061666947378013356,59.325842696629216,0.3937642554211547,37.07865168539326,0.07645956426858902,51.15473441108544,0.2661283314228058,71.93995381062356,0.02829718217253685,81.63972286374134,0.021332869306206703,75.98152424942263
