Ticker,Prediction_Date,Predicted_Return_3M,Predicted_Return_1Y,Predicted_Return_3Y
KOTAKBANK,2026-02-05,0.4208379089832306,1.3890502452850342,2.2812278270721436
TMPV,2026-02-05,0.18454450368881226,0.6347355842590332,0.40070393681526184
SBIN,2026-02-05,0.11440864205360413,0.13588547706604004,0.8827800750732422
INDUSINDBK,2026-02-05,0.1139330267906189,0.40705230832099915,-0.15249928832054138
BHARTIARTL,2026-02-05,0.11328599601984024,0.26888033747673035,1.917694330215454
ADANIENT,2026-02-05,0.10404884070158005,-0.1435563713312149,-0.18741503357887268
SUNPHARMA,2026-02-05,0.07371069490909576,0.28308016061782837,0.8286822438240051
ITC,2026-02-05,0.06874546408653259,0.3763497769832611,0.3410398066043854
BRITANNIA,2026-02-05,0.046579137444496155,0.17840516567230225,0.6685476303100586
ICICIBANK,2026-02-05,0.04089588671922684,0.12386424839496613,0.8265851736068726
TATACONSUM,2026-02-05,0.040583956986665726,0.07560424506664276,0.5072541236877441
ASIANPAINT,2026-02-05,0.025126386433839798,0.039210010319948196,-0.31442880630493164
UPL,2026-02-05,0.017297454178333282,-0.07646305859088898,-0.1348491609096527
CIPLA,2026-02-05,0.015895556658506393,0.0962417721748352,0.5318154096603394
JSWSTEEL,2026-02-05,0.0066130682826042175,0.1553182601928711,0.5018883347511292
POWERGRID,2026-02-05,0.005391251295804977,0.34373489022254944,1.1179451942443848
RELIANCE,2026-02-05,0.004867020063102245,0.003331165760755539,0.16841711103916168
M&M,2026-02-05,-0.0024779587984085083,-0.04622984305024147,0.06382881850004196
EICHERMOT,2026-02-05,-0.010105475783348083,-0.07052208483219147,0.88570636510849
INFY,2026-02-05,-0.015958957374095917,-0.1549423187971115,0.10527127981185913
HEROMOTOCO,2026-02-05,-0.016667868942022324,-0.14995382726192474,0.7580035328865051
ADANIPORTS,2026-02-05,-0.017877943813800812,-0.0957612469792366,0.7602206468582153
TATASTEEL,2026-02-05,-0.018578259274363518,-0.11566540598869324,0.30874282121658325
TCS,2026-02-05,-0.02229391224682331,-0.06848025321960449,0.14393284916877747
NTPC,2026-02-05,-0.024688154458999634,0.5951653718948364,0.8371535539627075
HINDUNILVR,2026-02-05,-0.037743471562862396,0.11142797768115997,0.06018378585577011
HCLTECH,2026-02-05,-0.046182721853256226,0.09238214045763016,0.7519181370735168
DIVISLAB,2026-02-05,-0.04694104194641113,-0.295118510723114,0.3184411823749542
APOLLOHOSP,2026-02-05,-0.04908119887113571,0.17822861671447754,0.6828749775886536
HDFCBANK,2026-02-05,-0.06965002417564392,0.050308823585510254,0.19518502056598663
DRREDDY,2026-02-05,-0.07069171965122223,-0.03341584652662277,0.4809405505657196
LT,2026-02-05,-0.07247032225131989,0.28821468353271484,1.122328519821167
TITAN,2026-02-05,-0.07377157360315323,0.08746181428432465,0.372377872467041
AXISBANK,2026-02-05,-0.0835709273815155,0.10267216712236404,0.49628883600234985
NESTLEIND,2026-02-05,-0.0891873687505722,0.05904664844274521,0.18758732080459595
BAJAJ-AUTO,2026-02-05,-0.08952359110116959,0.5104019045829773,2.385011911392212
SBILIFE,2026-02-05,-0.11197040230035782,0.10091482847929001,0.756307065486908
ONGC,2026-02-05,-0.1120404601097107,-0.45949646830558777,-0.2407573163509369
BAJFINANCE,2026-02-05,-0.13601061701774597,-0.043752796947956085,0.20827433466911316
BPCL,2026-02-05,-0.1404360979795456,-0.20431531965732574,0.42886462807655334
ULTRACEMCO,2026-02-05,-0.14252877235412598,-0.11531962454319,0.5136482119560242
GRASIM,2026-02-05,-0.15076901018619537,0.020757295191287994,0.5912851095199585
COALINDIA,2026-02-05,-0.16510148346424103,0.44165706634521484,0.4620295763015747
BAJAJFINSV,2026-02-05,-0.18643447756767273,-0.2581912577152252,-0.4977794885635376
HDFCLIFE,2026-02-05,-0.20009265840053558,-0.2112375795841217,-0.06658276915550232
WIPRO,2026-02-05,-0.20672564208507538,-0.3556100130081177,-0.03481520712375641
MARUTI,2026-02-05,-0.21281768381595612,-0.4359177350997925,-0.1855800449848175
HINDALCO,2026-02-05,-0.3290761709213257,-0.14443406462669373,0.38102293014526367
LTIM,2026-02-05,-0.3371419906616211,-0.3574712574481964,-0.21740908920764923
TECHM,2026-02-05,-0.3480824828147888,-0.3333907723426819,0.08353182673454285
