Model,MSE_3M,DirAcc_3M,MSE_1Y,DirAcc_1Y
Historical Mean,0.03720679405996817,60.77095252628811,0.3640313248084813,74.77559568828863
Moving Average,0.054636367033605845,51.03822452928503,0.39608764086733517,52.53103403182831
Linear Regression,0.6948178399579709,49.20478187479385,14.407371363772297,46.70775765673118
Random Forest,0.05934193217941217,49.5269768093777,0.47588547657694674,48.74873095192508
Simple LSTM,0.03923607833341372,60.04319848414488,0.4261164480668245,69.7951630273356
HybridForecaster,0.009451165381933049,82.92478684340713,0.0223386591747023,90.21225224479475
